question,intent
근처 빵 맛집 알려줘,맛집
인기 많은 팥빵 빵집 추천 좀 해줄래,맛집
맛집 알려줘,맛집
주변 맛집 알려줘,맛집
맛 좋은 맛집 알려줄래,맛집
고깃집 추천해줘,맛집
사탕 맛있는 곳 알려줘,맛집
유명한 고깃집 무한리필 추천해줘,맛집
무한리필집 추천 해줄래,맛집
부대찌개 잘하는 맛집 알려줘,맛집
주변 샐러드 맛집 어디야,맛집
근처 찜닭집 알려줘,맛집
찜닭 맛집 추천해줘,맛집
김치찌개 알려줘,맛집
튀김 잘하는 맛집 어디니,맛집
주변 아구찜 맛집 알려줘,맛집
간장게장 잘하는 곳 어디야,맛집
샐러드 먹고 싶은데 맛집 어디야,맛집
카레 먹고싶어,맛집
자장면 먹고싶은데,맛집
초밥 식당 추천해줘,맛집
매콤한 숙주 볶음 알려줘,맛집
매운 떡뽁이 맛집 어디야,맛집
달콤한 브라우니 먹고싶어,맛집
유명한 창원 브라우니 카페,맛집
마카롱 카페 달콤한 머랭쿠키,맛집
머랭 쿠키 잘하는 맛집 있니,맛집
초콜릿 맛집 알려줘,맛집
초콜렛 초콜릿 맛집 어디야,맛집
음식점 유명한 곳 어디 있니,맛집
수제비 맛집 어디 있어,맛집
김치찌개 맛집 알려줄래,맛집
유명한 찌개 맛집 추천해줘,맛집
햄버거 맛집 알려줘,맛집
근처 햄버거 맛집 어디니,맛집
수제버거 어디 맛있니,맛집
치킨집 추천해줘,맛집
치킨 맛있는 곳 추천 해줄래,맛집
근처 통닭집 추천해줘,맛집
주변 양념 치킨 잘 하는 곳 추천,맛집
마라롱샤 맛집 어디니,맛집
마라샹궈 맛집 추천 해줘,맛집
마라탕 잘 하는 곳 어디 있어,맛집
한식 맛집 알려줘,맛집
백반집 잘하는 곳 어디니,맛집
양식 먹고 싶은데 맛집 있니,맛집
근처 매운탕 맛집 알려줘,맛집
만두 맛집 알려줘,맛집
찐빵 맛집 알려주세요,맛집
짬뽕 맛집 알려주세요,맛집
초밥 잘 하는 곳 어디 맛있니,맛집
국밥집 알려줘,맛집
국밥 먹고싶어,맛집
뜨끈하고 든든하게 국밥 먹고싶어,맛집
감자탕 먹고싶어,맛집
라면 식당 알려줘,맛집
라멘 잘하는 곳 추천 좀 해줘,맛집
